,tconst,Wiki_ID,Freebase_ID,movie,country,gross
0,tt0056625,17099246,/m/0421659,two weeks in another town,Portugal,$300
1,tt0118966,2093587,/m/06lpgy,desperate measures,Domestic,"$13,806,137"
2,tt0212338,695023,/m/033fqh,meet the parents,Domestic,"$166,244,045"
3,tt0212338,695023,/m/033fqh,meet the parents,United Kingdom,"$21,589,963"
4,tt0212338,695023,/m/033fqh,meet the parents,Germany,"$17,504,124"
5,tt0212338,695023,/m/033fqh,meet the parents,Spain,"$12,379,703"
6,tt0212338,695023,/m/033fqh,meet the parents,France,"$9,740,638"
7,tt0212338,695023,/m/033fqh,meet the parents,Austria,"$2,136,153"
8,tt0212338,695023,/m/033fqh,meet the parents,Denmark,"$986,332"
9,tt0212338,695023,/m/033fqh,meet the parents,Iceland,"$203,540"
10,tt0212338,695023,/m/033fqh,meet the parents,Australia,"$11,549,612"
11,tt0289889,2886584,/m/0896c3,carolina,Spain,"$207,232"
12,tt0289889,2886584,/m/0896c3,carolina,Germany,"$101,409"
13,tt0309377,1072060,/m/043h5s,blood work,Domestic,"$26,235,081"
14,tt0309377,1072060,/m/043h5s,blood work,France,"$1,378,884"
15,tt0309377,1072060,/m/043h5s,blood work,Spain,"$987,718"
16,tt0309377,1072060,/m/043h5s,blood work,Italy,"$512,752"
17,tt0309377,1072060,/m/043h5s,blood work,United Kingdom,"$266,386"
18,tt0309377,1072060,/m/043h5s,blood work,Germany,"$182,061"
19,tt0309377,1072060,/m/043h5s,blood work,Austria,"$53,175"
20,tt0309377,1072060,/m/043h5s,blood work,Greece,"$52,900"
21,tt0309377,1072060,/m/043h5s,blood work,Norway,"$17,496"
22,tt0309377,1072060,/m/043h5s,blood work,Finland,"$13,170"
23,tt0309377,1072060,/m/043h5s,blood work,Mexico,"$345,809"
24,tt0309377,1072060,/m/043h5s,blood work,Argentina,"$191,941"
25,tt0309377,1072060,/m/043h5s,blood work,Brazil,"$72,399"
26,tt0309377,1072060,/m/043h5s,blood work,Japan,"$256,102"
27,tt0309377,1072060,/m/043h5s,blood work,Australia,"$173,262"
28,tt0309377,1072060,/m/043h5s,blood work,Taiwan,"$32,121"
29,tt0160484,5610546,/m/0dw4y1,lost souls,Domestic,"$16,815,253"
30,tt0160484,5610546,/m/0dw4y1,lost souls,United Kingdom,"$585,106"
31,tt0160484,5610546,/m/0dw4y1,lost souls,Austria,"$60,138"
32,tt0160484,5610546,/m/0dw4y1,lost souls,Australia,"$101,331"
33,tt0107007,1236122,/m/04kzqz,gettysburg,Domestic,"$10,769,960"
34,tt0103007,4055312,/m/0bftwt,the super,Domestic,"$11,000,863"
35,tt0273435,865912,/m/03jsdr,ararat,Domestic,"$1,555,959"
36,tt0273435,865912,/m/03jsdr,ararat,France,"$196,602"
37,tt0273435,865912,/m/03jsdr,ararat,Greece,"$75,950"
38,tt0273435,865912,/m/03jsdr,ararat,Italy,"$66,752"
39,tt0273435,865912,/m/03jsdr,ararat,Spain,"$29,496"
40,tt0273435,865912,/m/03jsdr,ararat,Germany,"$16,596"
41,tt0273435,865912,/m/03jsdr,ararat,Argentina,"$70,952"
42,tt0110399,2797150,/m/0838sl,a low down dirty shame,Domestic,"$29,392,418"
43,tt1046947,20645492,/m/03cb4k2,last chance harvey,Original Release,40 markets
44,tt1046947,20645492,/m/03cb4k2,last chance harvey,2012 Re-release,Bolivia
45,tt1046947,20645492,/m/03cb4k2,last chance harvey,Domestic,"$14,889,042"
46,tt1046947,20645492,/m/03cb4k2,last chance harvey,United Kingdom,"$3,391,327"
47,tt1046947,20645492,/m/03cb4k2,last chance harvey,France,"$2,747,905"
48,tt1046947,20645492,/m/03cb4k2,last chance harvey,Spain,"$2,341,564"
49,tt1046947,20645492,/m/03cb4k2,last chance harvey,Germany,"$2,139,464"
50,tt1046947,20645492,/m/03cb4k2,last chance harvey,Austria,"$358,194"
51,tt1046947,20645492,/m/03cb4k2,last chance harvey,Greece,"$300,379"
52,tt1046947,20645492,/m/03cb4k2,last chance harvey,Türkiye,"$266,252"
53,tt1046947,20645492,/m/03cb4k2,last chance harvey,Switzerland,"$255,126"
54,tt1046947,20645492,/m/03cb4k2,last chance harvey,South Africa,"$204,447"
55,tt1046947,20645492,/m/03cb4k2,last chance harvey,Portugal,"$199,446"
56,tt1046947,20645492,/m/03cb4k2,last chance harvey,Denmark,"$166,460"
57,tt1046947,20645492,/m/03cb4k2,last chance harvey,Netherlands,"$151,713"
58,tt1046947,20645492,/m/03cb4k2,last chance harvey,Belgium,"$134,736"
59,tt1046947,20645492,/m/03cb4k2,last chance harvey,Hungary,"$124,063"
60,tt1046947,20645492,/m/03cb4k2,last chance harvey,Finland,"$46,896"
61,tt1046947,20645492,/m/03cb4k2,last chance harvey,United Arab Emirates,"$42,847"
62,tt1046947,20645492,/m/03cb4k2,last chance harvey,Norway,"$37,760"
63,tt1046947,20645492,/m/03cb4k2,last chance harvey,Lebanon,"$10,209"
64,tt1046947,20645492,/m/03cb4k2,last chance harvey,Sweden,"$7,443"
65,tt1046947,20645492,/m/03cb4k2,last chance harvey,Iceland,"$5,457"
66,tt1046947,20645492,/m/03cb4k2,last chance harvey,Australia,"$1,780,800"
67,tt1046947,20645492,/m/03cb4k2,last chance harvey,New Zealand,"$640,144"
68,tt1046947,20645492,/m/03cb4k2,last chance harvey,South Korea,"$203,864"
69,tt1046947,20645492,/m/03cb4k2,last chance harvey,Taiwan,"$45,067"
70,tt1046947,20645492,/m/03cb4k2,last chance harvey,Singapore,"$30,834"
71,tt1046947,20645492,/m/03cb4k2,last chance harvey,Hong Kong,"$26,164"
72,tt1046947,20645492,/m/03cb4k2,last chance harvey,Thailand,"$20,692"
73,tt1046947,20645492,/m/03cb4k2,last chance harvey,Russia/CIS,"$12,966"
74,tt1046947,20645492,/m/03cb4k2,last chance harvey,Brazil,"$791,723"
75,tt1046947,20645492,/m/03cb4k2,last chance harvey,Argentina,"$472,455"
76,tt1046947,20645492,/m/03cb4k2,last chance harvey,Mexico,"$264,672"
77,tt1046947,20645492,/m/03cb4k2,last chance harvey,Chile,"$158,660"
78,tt1046947,20645492,/m/03cb4k2,last chance harvey,Peru,"$126,409"
79,tt1046947,20645492,/m/03cb4k2,last chance harvey,Uruguay,"$74,598"
80,tt1046947,20645492,/m/03cb4k2,last chance harvey,Venezuela,"$66,304"
81,tt1046947,20645492,/m/03cb4k2,last chance harvey,Ecuador,"$30,884"
82,tt1046947,20645492,/m/03cb4k2,last chance harvey,Bolivia,"$1,461"
83,tt0386032,1178011,/m/04dsnp,sicko,Original Release,44 markets
84,tt0386032,1178011,/m/04dsnp,sicko,2009 Re-release,Spain
85,tt0386032,1178011,/m/04dsnp,sicko,Domestic,"$24,540,079"
86,tt0386032,1178011,/m/04dsnp,sicko,Italy,"$2,038,301"
87,tt0386032,1178011,/m/04dsnp,sicko,France,"$2,036,068"
88,tt0386032,1178011,/m/04dsnp,sicko,Denmark,"$962,429"
89,tt0386032,1178011,/m/04dsnp,sicko,United Kingdom,"$743,485"
90,tt0386032,1178011,/m/04dsnp,sicko,Germany,"$482,258"
91,tt0386032,1178011,/m/04dsnp,sicko,Norway,"$302,739"
92,tt0386032,1178011,/m/04dsnp,sicko,Sweden,"$295,908"
93,tt0386032,1178011,/m/04dsnp,sicko,Switzerland,"$285,018"
